REGION,DISTRICT POINTER,DISTRICT,TOWN POINTER,LOCATION,POSTCODE
NORTHERN,1,CHITIPA,100,Chitipa BOMA,101100
1,,,,TA Kameme,101101
,,,,STA Bulambya Songwe,101102
,,,,TA Mwabulambya,101103
,,,,TA Mwenemisuku,101104
,,,,STA Lwangwa,101105
,,,,TA Mwenewenya,101106
,,,,STA Nthengatenga,101107
,,,,TA Nthalire,101108
,,,,STA Wavikaza,101109
,2,KARONGA,100,Karonga Township,102100
,,,,Songwe Township,102101
,,,,TA Mwakaboko,102102
,,,,TA Kilupula,102103
,,,,TA Kyungu,102104
,,,,TA Mwirang'ombe,102105
,,,,TA Wasambo,102106
,3,RUMPHI,100,Rumphi BOMA,103100
,,,,TA Mwalweni,103101
,,,,STA Kachulu,103102
,,,,STA Njikula,103103
,,,,TA Mwamlowe,103104
,,,,STA Chapinduka,103105
,,,,TA Mwankhunikira,103106
,,,,TA Mwahenga,103107
,,,,STA Chisovya,103108
,,,,TA Chikulamayembe,103109
,,,,TA Katumbi,103110
,,,,STA Zolekere,103111
,,,,Nyika National Park,103112
,4,MZIMBA,100,Mzimba BOMA,104100
,,,,TA Jaravikuba Munthali,104101
,,,,TA Mtwalo,104102
,,,,Ekwendeni Township,104103
,,,,TA Mpherembe,104104
,,,,TA Chindi,104105
,,,,TA Kampingo Sibande,104106
,,,,TA M'mbelwa,104107
,,,,TA Mzukuzuku,104108
,,,,TA Mzikubola,104109
,,,,STA Levi Jere,104110
,,,,Jenda Township,104111
,,,,TA Mabulabo,104112
,,,,TA Khosolo Gwaza Jere,104113
,,,,Vwaza Marsh Reserve,104114
,5,MZUZU,200,Mzuzu CBD,105200
,,,,Khorongo,105201
,,,,Lupaso,105202
,,,,Luwinga,105203
,,,,Mchengautuwa,105204
,,,,Chibanja,105205
,,,,Katoto,105206
,,,,Zolozolo,105207
,,,,Hilltop,105208
,,,,Chiputula,105209
,,,,Mzilawaingwe,105210
,,,,Katawa,105211
,,,,Chasefu,105212
,,,,Lunyangwa,105213
,,,,Kaningína,105214
,,,,Masasa,105215
,,,,Msongwe,105216
